#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.10873 -0.02773  0.83346  0.000000  0.000000  0.000000     1.000
   0.00634  1.10270 -0.02579  0.94956  0.000000  0.000000  0.000000     1.000
   0.01854  1.09104 -0.02220  0.99650  0.000000  0.000000  0.000000     1.000
   0.03312  1.07704 -0.01814  1.03345  0.000000  0.000000  0.000000     1.000
   0.04805  1.06264 -0.01418  1.05902  0.000000  0.000000  0.000000     1.000
   0.06305  1.04812 -0.01040  1.08055  0.000000  0.000000  0.000000     1.000
   0.07805  1.03356 -0.00683  1.09475  0.000000  0.000000  0.000000     1.000
   0.09307  1.01892 -0.00344  1.10844  0.000000  0.000000  0.000000     1.000
   0.10775  1.00457 -0.00038  1.10018  0.000000  0.000000  0.000000     1.000
   0.12220  0.99044  0.00265  1.10003  0.000000  0.000000  0.000000     1.000
   0.13698  0.97601  0.00586  1.12975  0.000000  0.000000  0.000000     1.000
   0.15216  0.96116  0.00899  1.13626  0.000000  0.000000  0.000000     1.000
   0.16736  0.94626  0.01202  1.14677  0.000000  0.000000  0.000000     1.000
   0.18258  0.93132  0.01493  1.15460  0.000000  0.000000  0.000000     1.000
   0.19781  0.91635  0.01773  1.16164  0.000000  0.000000  0.000000     1.000
   0.21305  0.90135  0.02042  1.16797  0.000000  0.000000  0.000000     1.000
   0.22830  0.88633  0.02301  1.17400  0.000000  0.000000  0.000000     1.000
   0.24355  0.87128  0.02551  1.17924  0.000000  0.000000  0.000000     1.000
   0.25881  0.85621  0.02790  1.18410  0.000000  0.000000  0.000000     1.000
   0.27408  0.84112  0.03020  1.18871  0.000000  0.000000  0.000000     1.000
   0.28935  0.82600  0.03241  1.19258  0.000000  0.000000  0.000000     1.000
   0.30463  0.81087  0.03453  1.19666  0.000000  0.000000  0.000000     1.000
   0.31991  0.79573  0.03656  1.20008  0.000000  0.000000  0.000000     1.000
   0.33519  0.78056  0.03850  1.20377  0.000000  0.000000  0.000000     1.000
   0.35049  0.76539  0.04036  1.20685  0.000000  0.000000  0.000000     1.000
   0.36578  0.75020  0.04214  1.20990  0.000000  0.000000  0.000000     1.000
   0.38108  0.73499  0.04384  1.21295  0.000000  0.000000  0.000000     1.000
   0.39638  0.71978  0.04546  1.21586  0.000000  0.000000  0.000000     1.000
   0.41169  0.70455  0.04700  1.21837  0.000000  0.000000  0.000000     1.000
   0.42699  0.68931  0.04847  1.22116  0.000000  0.000000  0.000000     1.000
   0.44230  0.67407  0.04986  1.22348  0.000000  0.000000  0.000000     1.000
   0.45761  0.65881  0.05117  1.22604  0.000000  0.000000  0.000000     1.000
   0.47293  0.64355  0.05242  1.22816  0.000000  0.000000  0.000000     1.000
   0.48824  0.62828  0.05358  1.23069  0.000000  0.000000  0.000000     1.000
   0.50356  0.61300  0.05468  1.23291  0.000000  0.000000  0.000000     1.000
   0.51887  0.59772  0.05570  1.23497  0.000000  0.000000  0.000000     1.000
   0.53419  0.58243  0.05666  1.23724  0.000000  0.000000  0.000000     1.000
   0.54951  0.56714  0.05754  1.23967  0.000000  0.000000  0.000000     1.000
   0.56483  0.55184  0.05835  1.24166  0.000000  0.000000  0.000000     1.000
   0.58015  0.53654  0.05909  1.24421  0.000000  0.000000  0.000000     1.000
   0.59546  0.52124  0.05975  1.24641  0.000000  0.000000  0.000000     1.000
   0.61077  0.50594  0.06034  1.24873  0.000000  0.000000  0.000000     1.000
   0.62608  0.49064  0.06086  1.25089  0.000000  0.000000  0.000000     1.000
